Question	Words count	Misspeling count	Misspeling errored	Question Length
кто получить один нобелевский премия физика	6	0	0	43
ноль это ч юный неуч юный число	7	3	0	30
как называться место берег обитать тюлень	6	0	0	41
когда принять манифест отмена крепостной право Россия	7	1	0	53
какой вода следовать пить работа горячее цех	7	0	0	44
какой нога Кристина роналдый пробивать штрафной	6	1	1	48
кто один изобрести теле скорый	4	1	0	29
что купить клевера	3	1	0	19
Вт рядный наружный покров насекомое	5	2	0	33
как называться спин фиф «сумерки»	5	1	0	33
сколько видит программа клевер	4	1	0	30
когда начаться стадия бета тестирование контакте	6	1	0	49
в Германом скандинавский мифология отец один	6	1	0	43
какой компания год выпустить первое японский пианино	7	0	0	52
сколько клуб играть	3	0	0	19
как звать самый хороший подружка ленчем Екатерина Юрий Маргарита Алису Амалия посылу	12	7	0	85
кто ковать молния Зевс	4	1	0	22
какой город являться столица один прибалтийский страна	7	0	0	54
в какой год крещение Русь	5	1	0	25
что сказать Юрий гагарий стартовать космос	6	2	0	42
кто лафет скандинавский мифология	4	1	0	33
в какой год родиться три	5	0	0	24
что перечисленный относиться патология почка	5	1	0	44
что изобарный литр Альфред кобель	5	3	0	31
с какой расстояние назначать пенальти футбол	6	0	0	44
в какой год впервые отметить деть России	7	2	0	42
как звать слуга главный герой капитанский дочка	7	0	0	47
кто самый один ведущий программа в мир животных	8	2	0	49
кто основатель первое паровоз Россия	5	1	0	36
у ж год собака год лошадь год слон килограмм человек килограмм что	12	0	0	67
происхождение китайский хохлатый собака неизвестно некоторые данные это мочь произойти какой этот место	13	0	0	103
какой первое видео	3	0	0	18
какой материк существовать	3	0	0	26
радиус планета составлять километр	4	0	0	34
сколько субъект российский федерация	4	0	0	36
кто выиграть чемпионат мир футбол год	6	0	0	37
какой этот страна данный момент входить Евросоюз	7	1	0	48
что такой ватерпас	3	0	0	18
в период время существовать опричнина	5	0	0	37
как звать дедушка лунатик	4	1	0	24
сколько роман ставен книг опубликовать псевдоним Ричард брахман	8	4	0	62
в какой год родиться Николай Коперник	6	2	0	37
где находиться мор Москва	4	1	0	25
в страна футбол получить один единый правило регламент игра	9	0	0	59
в какой год состояться дебют группа	6	0	0	35
древние грек называть «борисфен» римлянах «данапарис» турок «узу» славянин «славутич» называться этот река	13	1	0	105
сколько улитка зуб	3	0	0	18
в какой год создать Петрозаводск	5	1	0	32
кто открыть Америка	3	1	0	19
какой год залить первое видео	5	0	0	29
что перечисленный относиться анатомия человек	5	0	0	45
кто самка этот насекомое убивать самец спаривание	7	0	0	49
согласно пословица столица довести язык	5	0	0	39
какой термин означать возвращение родина военнопленный гражданский лицо оказаться предел	10	0	0	88
какой пескарь сказка стыков щербин	5	2	0	36
какой самый крупный река Италия	5	1	0	31
какой предмет самый главный путешествие космос руководство автостопщик	8	0	1	70
в европейский страна река другой источник пресный вода	8	0	0	54
какой страна считаться родина танец полька	6	0	0	42
кома принадлежать выражение краткость сестра таланта	6	2	0	54
что такой «папайя»	3	0	0	18
какой жук поклоняться древний Египет	5	1	0	36
где восходить солнце	3	0	0	20
какой рост наполеон	3	0	0	19
в страна жить самый известный женщина пират	7	0	0	43
куда впадать вода река Рио гранд	6	1	0	32
в футбольный клуб пере литр критикан гонада год	8	3	0	49
как звать один жена Петра	5	1	0	25
сколько президент СССР	3	1	0	22
какой фраза песня паладин	4	1	0	25
какой маршал СССР командовать парад победа Москва июнь год	9	2	0	58
сколько сантиметр один километр	4	0	0	31
по один версия термин получить новое название охрана порядок некоторый футбольный матч усиливаться сч том полицейский кавалерист назвать термин	19	0	0	143
как называться луч который делить угол пополам	7	0	0	46
что такой	2	0	0	9
какой песня группа принести популярность	5	0	0	40
как звать основатель контакте	4	1	0	30
как называться боязнь длинный слово	5	0	0	35
как древнеславянский переводиться слово язва	5	0	0	44
существовать форма ячмень озимый ярдов	5	1	0	37
как называть человек иметь гражданство два государство	7	0	0	54
в какой город не пройти матч чемпионат мир футбол	9	0	0	49
кома продать акция контакте дубров	5	2	0	34
в честь горный система Азия российский географ п рт п рт Семенов получить два часть фамилия	16	4	0	91
где вода содержится	3	1	0	20
как называться крупный площадь пресноводный озеро Европа	7	1	0	56
дата призвание варяг править Русь	5	1	0	33
где происходить знакомство гуртов дама собачкой одним энный произведение а плата чехов	12	5	0	87
один президент российский федерация	4	0	0	35
холодное морской течение атлантический океан протекать побережье Канада Гренландия	9	2	0	82
какой марка один прототип портативный сотовый телефон	7	0	0	53
кто в наш тающие	4	1	0	17
угол это сколько	3	1	0	17
зависать клевер	2	0	0	15
	0	0	0	0
в какой город проходить летний универсиада	6	0	0	42
как называться самый высокий гора солнечный система	7	0	0	51
в какой год родиться Альберт Эйнштейн	6	2	0	37
кто послужить прототип лора пал мера	5	1	0	35
какой государство иметь одинаковый флаг	5	0	0	39
часть человек находиться голень	4	0	0	31
на число метр держаться один	5	0	0	28
кто самый высокооплачиваемый акт р	5	0	0	34
в время великий отечественный война сколько погибнуть гражданин СССР	9	1	0	68
как называться фонетический явление сингармонизм германский язык	7	0	0	64
как ответить правильно вопрос клевер	5	0	0	36
какой животный самый быстрый короткий дистанция	6	0	0	47
кто персонаж мультфильм гравия ползти озвучивать автор апекс хитра	9	4	0	67
сколько длиться самый короткий война	5	0	0	36
в какой год принять конституция российский федерация	7	0	0	52
какой страна выиграть чемпионат мир футбол среди мужчина	8	0	0	56
что изобразить фотография стать миллион американец символ окончание два мировой война	11	0	0	85
какой операционный система существовать	4	1	0	39
не отображаться спикер контакте а клевер уже	7	3	0	46
от какой перечисленный заболевание женщина страдать несравнимый реж мужчина	9	0	0	75
в какой год создать один	5	0	0	24
какой метать дорогой	3	0	0	20
какой язык знать художник винсент ван гонга	7	1	1	42
какой самый большой само том мир	6	1	0	33
сколько битый игровой консоль го поколение	6	0	0	42
какой страна не входить НАТО	5	1	0	28
что вращаться вокруг земля	4	0	0	26
по река плыть том кирпич деревянный	6	0	0	35
кто подарить казак земля	4	0	0	24
какой апостол выбрать воля жребий	5	0	0	33
ьжпедьр	1	0	1	7
что такой	2	0	0	9
памятник великий троица футболист Манчестер юнайтед» установленный около стадион од траффорд»	11	2	2	96
что логарифм	2	0	0	12
сколько месяц день часы	4	0	0	23
день рождение число пи отмечаться	5	0	0	33
что перечисленный являться синоним чайный гриб	6	0	0	46
кто играть хоккей номер	4	0	0	23
какой время часы год южный Сахалинск год Москва ровно часы день	11	2	0	63
день рождение Ленин	3	1	0	19
сколько часы год	3	0	0	16
какой девушка сериал «друзья» родить	5	0	0	36
сколько глаз обыкновенный муха	4	0	0	30
какой школьный предмет включать математика	5	0	0	42
какой государство находиться одновременно два часть мир	7	0	0	55
какой город иметь статус неофициальный газовый «столицы» Россия	8	1	0	63
в этот страна официально не признать существование НЛО	8	1	0	54
как называться парламент Россия	4	1	0	31
из какой язык мы пришлый слово который сегодня весь известно мы банк	12	0	0	68
каков скорость свет	3	0	0	19
что кровавый кровавый	3	0	0	21
кто ниже перечисленный индусский бог являться отец бог скандал	8	3	0	60
не появляться вопрос экран хотя интернет очень хороший делать почему такой происходить	12	0	0	86
какой город США Украина	4	2	0	23
какой столица являться самый многонаселенный	5	0	0	44
на улица жить герой детский телепередача зелибоб кубик бусинка	9	0	1	62
какой официальный язык США	4	1	0	26
как звать няня Александр Сергей Пушкин	6	3	0	38
сестра какой имя нет кием кардашьян	6	1	1	34
сколько зуб взрослый собака	4	0	0	27
как получить жизнь если друг игра	6	0	0	33
в какой город родиться бокс р Константин язю	8	2	0	44
кто изобарный литр плавкий предохранитель	5	1	0	39
как звать оренбуржский казак	4	0	0	28
из состоять рог единорог	4	0	0	24
кто отменить крепостной право Россия	5	1	0	36
самый широкий река Россия	4	1	0	25
в какой год умереть лжедмитрий	5	0	1	30
в страна ч юный лес	5	1	0	19
чем являться помидор	3	0	0	20
на игровой платформа выйти один игра	6	0	0	36
с какой цвет волос человек маленький	6	0	0	36
кто называть царь тайга	4	1	0	23
как называться роман норе де бальзам эпиграф который являться горизонтально извиваться число юный линия	14	3	0	104
когда созданная компания	3	1	0	23
как называться самый высокий гора СССР	6	1	0	38
сколько море омывать балканский полуостров	5	0	0	42
как называться роман Жан Поль астр	6	3	0	35
как называться метр игра гитара который происходить быстрый многократный повторение один звук	12	0	0	93
какой свет иметь наибольший длина волна	6	0	0	39
почему каспийский мор являться море	5	0	0	35
как ныне называться город ништадт известный мирный договор хорошо август сентябрь	11	0	1	81
на какой место мир высота расположить здание эмпайра стерт холдинга	10	2	1	67
кто один князь великое княжество литовский	6	0	0	42
как большой теннис правильно называться подача вылет	7	0	0	52
что означать аббревиатура	3	0	0	25
в какой год октябрьский революция	5	0	0	33
на флаг страна нет белый цвет	6	0	0	29
кто автор книга война гордо	5	1	0	26
как называться специалистка печатать пишущий машинка	6	0	0	52
какой город существовать детский сад мужчина вариант Гамбург Лос Анджелеса нью кр	12	4	0	80
наибольший число гол один матч забитый один игрок чемпионат мир футбол	11	0	0	70
как называть военнослужащий войско вдев	5	1	0	38
какой этот московский рок группа появиться ранний	7	0	0	49
разновидность ухаживание показывать некий возможность ожидание сексуальный отношение слишком поднимать уровень обещание	12	0	0	119
где находиться город Нальчик	4	1	0	28
какой девушка сериал друг родить	5	0	0	32
в страна впервые появиться головоломка судок	6	0	0	44
какой образ страус чаща спасаться опасность	6	0	0	43
у кнут пряник англичанин	4	0	0	24
кто становиться чемпион мир четыре х весовой категория	8	1	0	53
какой пол появляться вокруг любой предмет	6	0	0	41
какой номер нехороший квартира роман метр а бурлаков мастер Маргарита	10	2	0	69
самый длинный пролив Россия	4	1	0	27
какой королевство недавно переименовать «эсватини»	5	0	0	50
какой река мир самый полноводный	5	0	0	32
как звать почтальон извести мультфильм промтоквашин иван Егор Петя	9	3	1	65
какой футбольный клуб выигрывать лига Европа	6	1	0	44
на какой вопрос отвечать слово обозначать предмет именительный падеж	9	0	0	68
кто щи писатель середина век заместитель глава Рязань руководитель местный аз энный палата	13	4	0	90
в какой год впервые проведаю наш канский кинофестиваль	8	1	0	53
что буквальный перевод английский означать аббревиатура	6	0	0	55
у птица мочевой пузырь	4	0	0	22
как называться один альбом группа	5	0	0	33
какой фильм войти трилогия опушить	5	1	0	33
мама мальчик сказать трогать печение полезть разбить тарелка другой сказать тон тарелка не чайный разбить тор лак вопрос виноватый	18	3	0	129
в какой год изобрести дизельный двигатель	6	0	0	41
какой персонаж нет мультфильм сгубить дну	6	2	0	40
кто сыграть лейтенант Коломбо одним энный сериал	7	3	0	48
какой цвет простыня	3	0	0	19
из сколько рукав состоять устье амазонка	6	0	0	40
какой птица не уметь летать	5	0	0	27
какой воздушный сладость перевод французский язык означать слово поцелуй	9	0	0	72
сколько год контакте	3	1	0	21
день рождение в и Ульяною Ленин	6	2	0	31
какой город являться столица Австралия	5	1	0	38
казахстанский валюта	2	0	0	20
когда праздновать новый год христианский Русь	6	1	0	45
какой планет находиться близкий Нептун	5	1	0	38
какой этот река самый длинный	5	0	0	29
какой рекордный сумма разыгрывать история клевер	6	0	0	48
какой город являться столицей Узбекистан	5	2	0	40
в какой город родиться христофор клумб	6	1	1	39
как называться балетный термин обозначать сгибание один либо оба нога	10	0	0	69
что такой рам бутан	3	1	0	18
какой бомба сбросить японский город Нагасаки	6	1	0	44
какой представитель животное мир спасти древний Рим	7	1	0	51
в какой год родиться Александр Сергей Пушкин	7	3	0	44
в какой год родиться приведен РФ в в паутин	9	3	0	43
год тати попасть теле проект	4	2	0	29
сколько звук слово ель	4	0	0	22
какой футбольный клуб выиграть лига чемпион Уфа	7	1	0	48
между какой страна протекать Тасмания мор	6	1	0	42
кто придумать радио	3	0	0	19
как звать инопланетянин известный комедийный серия	6	0	0	50
какой газ заправлять холодильник	4	0	0	32
в страна появиться традиция пить чаять молоко	7	0	0	45
кто не являться переносчик чума	5	0	0	31
как называться хороший сорт каменный уголь	6	0	0	42
как звать мама Алла кумачовый	5	2	0	29
как находиться формула мощность	4	0	0	31
хороший футболист век версия футбольный комиссия фифа это	8	0	0	57
сколько время нью Йорк Москва быть отмечать новый год	9	2	0	53
на флаг какой этот город изображу наш медведь	8	1	0	44
кто три президент Россия	4	2	0	23
что такой полифония	3	0	0	19
как называться слово одинаковый написание разный произношение	7	0	0	61
какой самый маленький млекопитающее мир	5	0	0	39
дюжина это сколько	3	0	0	18
где находиться уневерсести гнесинк	4	0	2	34
что означать название книга рая брэдбрать градус фаренгейту»	8	1	2	60
в какой год евро видение выступать Алл пугаче	7	3	0	45
где находиться самый засушливый место мир	6	0	0	41
в какой вид спорт зафиксировать самый высокий скорость спортивный снаряд	10	0	0	72
в какой год открыться музей лавр	6	1	0	32
как называться мифический остров государство погрузиться дно	7	0	0	60
как называться боязнь высота	4	0	0	28
как называться оплодотворю энный яйцеклетка	5	2	0	41
как называться самый большой лягушка	5	0	0	36
какой самый большой здание мир	5	0	0	30
в эпоха жить и с бах	6	0	0	20
здравствовать помчим дружить невидный меню клевер друзья отличат немочь	9	4	0	69
в древнегреческий мифология сын какой бог сизиф	7	0	0	47
акт р играть какой персонаж оригинальный трилогия зав единый война данный момент живой	13	2	0	84
этот африканский страна апрель год сменить свой название сватий	9	1	0	65
какой фамилия девочка который вести знаменитый блокадный дневник время блокада Ленинград	11	1	0	88
сколько вдох минута делать человек состояние отдых	7	0	0	50
по указ какой император Россия появиться колбасный цех	8	1	0	54
в какой год стрельба лука войти программа олимпиада	8	0	0	51
в какой год основать п рт Санкт Петербург	8	3	0	41
продолжить фраза клевер игра	4	0	0	28
какой частью весь суши земля являться Россия	7	1	0	44
как называться верблюд который горб	5	0	0	35
у кто «вампиров» кровь пить самка	6	0	0	33
какой страна создать бренди	4	1	0	26
назвать настоящее имя человек паук	5	0	0	34
горячее водяной фонтанировать источник это	5	0	0	42
в какой год основать Петербург	5	1	0	30
назвать самый скол юный мор мировой океан	7	2	0	39
какой сказка являться режиссер юрский работа Александр ору	8	4	0	55
кто написать надаю пропасть ржи	5	2	0	32
кто создать неоновый лампа	4	0	0	26
сколько год наш президент	4	0	0	25
где появиться самый один мир цирк	6	0	0	33
здравствовать правильно ответить вопрос использовать жизнь это защит алый причина играть мкс	11	2	0	91
чем пахнуть метро	3	0	0	17
кто этот композитор владеть шестью иностранный язык число персидский	9	0	0	68
скачать приложение пак	3	1	0	21
какой война период	3	0	0	18
в какой год умереть Борис лев Васильевн	7	2	0	38
что такой абаз	3	0	0	14
какой река являться третьим величина приток волга	7	1	0	48
президент страна объявить праздник выходной день связь выход сборный ЧМ футбол	11	1	0	78
сколько человек находиться одновременно площадка игра пляжный волейбол	8	0	0	70
какой сборная выиграть чемпионат мир год	6	0	0	40
сколько стоить дополнительный жизнь игра клевер	6	0	0	47
что такой «абак»	3	0	0	16
что обозначать слово бая зет	4	1	0	27
в какой город проходить летний универсиада год	7	0	0	46
в какой год произойти раздробленность Русь	6	1	0	42
в какой город Россия трамвай ехать тайга	7	1	0	40
год жизнь Елизавета один	4	1	0	24
как не называться город Кингисепп Лена таи	7	3	0	41
у какой дерево древесина губка	5	0	0	30
бронза это сплав	3	0	0	16
какой самый большой дикий кошка мир	6	0	0	35
какой сборная футбол победить первое чемпионат мир который проходить год	10	0	0	72
в число метр кипятить вода	5	0	0	26
как называться здание который содержимый больной проказа	7	0	0	56
при какой император российский империя отменить крепостной право	8	0	0	64
кто согласно поговорка платить дважды	5	0	0	37
какой машиностроительный завод получить премия хороший товар Россия	8	1	0	67
как старка мститель называть тор	5	0	0	32
какой страна победить евро видение ого год	6	1	0	41
согласно пословица столица довести язык	5	0	0	39
как называться ст кий волос шерсть кошка считаться важный орган чувство помогать ориентироваться пространство	13	1	0	108
один название карточный масть	4	1	0	29
сколько сезон сериал секретный материал	5	0	0	39
что означать имя верховный божество греческий мифология Зевс	8	1	0	60
где находиться город прет	4	1	0	25
сколько ребе но Николай	4	3	0	23
как звать отец Александр Пушкин	5	2	0	31
как звать тонкий рассказ а плата чехов толстый тонкий	9	2	0	55
сколько полый квадратик шахматный доска	5	0	0	39
как называться белорусский картофельный блин начинка фарш	7	0	0	57
сколько остаться тигровый дикий природа	5	0	0	39
сколько длиться самый короткий авиарейс	5	0	0	39
из болт дине прекратить озвучивать мультик милки маис год	9	4	0	61
сколько зуб взрослый человек	4	0	0	28
какой камень бесконечность существовать кино вселенная	5	1	0	53
в какой этот регион побывать робинзонада кургузый продолжение роман далее дело	11	3	0	74
как называться дает кыш норка	5	2	0	28
в какой год человек запустить космос	6	0	0	36
в какой предложить советский фильм впервые продемонстрировать ка	8	1	0	64
в сколько год менять паспорт последний	6	0	0	38
кто создать сериал поклон	4	1	0	26
сколько горошина входить шкаф	4	0	0	29
когда тонально рамп вступить должность президент США	7	3	0	52
какой князь назвать город киев матерь город русский	8	0	0	51
кто придумать один детский сад	5	0	0	30
сколько часовой зона территория Россия	5	2	0	39
в какой год образоваться СССР	5	1	0	29
на похожий х лепестковый клевер который любить играть	8	0	0	53
что означать выражение разрубить гордой узел	6	1	0	44
что означать	2	0	0	12
отчего утка плавать	3	0	0	19
самый мощный футбольный команда мир	5	0	0	35
какой день самый длинный северный полушарие	6	0	0	43
пищеварительный органик клетка являться	4	1	0	40
в страна любить отдыхать плата каковский рт х ОРЗ р графиня ф маек	13	4	0	65
где находиться самый высокий небоскреб б мир	7	1	0	42
олимпийский кольцо какой континент раскрыться открытие олимпиада Сочи год	9	1	0	73
из сколько цветок состоять радуга	5	0	0	33
в какой город проходить последний боев флот мейвезер	8	1	1	53
в какой год появиться социальный сеть контакте	7	1	0	47
это степень	2	0	0	11
какой химический элемент данный момент открыть последний год	8	0	0	60
какой слово означать «глаз»	4	0	0	27
сколько глаз ЧП литр	4	1	0	20
как латинский дом	3	0	0	17
закупи это	2	1	0	9
чей это закон ну я	5	2	0	20
в какой год Италия объединиться предводительство Виктор Эммануил	8	3	0	64
в какой год закончиться великий отечественный война	7	0	0	51
если набор текст клавиатура телефон печатать слово «можно» отпечататься «ж» получиться но	12	2	0	89
какой альбом выйти ранний	4	0	0	25
в перевод греческий язык это слово означать песнь подвыпить гуляка	10	0	0	66
что делать страус вид опасность	5	0	0	31
птица мир или символ мир какой это птица	8	0	0	40
как называться свойство советов волна огибать кромка встречный препятствие	9	1	0	73
под какой псевдоним писать свой произведение Алексей мешков	8	2	0	59
кто перечисленный долгий обходиться вода	5	0	0	40
какой команда выиграть чемпионат Россия футбол год	7	1	0	50
какой Костя череп человек очертание похожий бабочка	7	1	0	51
разгадка какой вид кроссворд являться рисунок	6	0	0	45
кто перечисленный животное относиться парнокопытный	5	0	0	51
сколько килограмм весить воздух один комната	6	0	0	44
в какой год издать жаловать грамота дворянство	7	0	0	46
какой химический элемент маленький клетка	5	0	0	41
быть забрать деньга игрок ответить вопрос сегодняшний игра сливовый получить рубль	11	0	0	82
какой настоящий фамилия Иосиф Виссарион Сталин	6	3	0	46
какой страна являться родина кернинг	5	1	0	36
какой национальный символ Великобритания	4	1	0	40
какой число являться число пи	5	0	0	29
в день год начаться великий отечественный война	7	0	0	47
чем знаменитый павловский посад	4	0	0	31
какой пут м делиться подовый клетка	6	1	0	35
какой женщина впервые присудить индивидуальный нобелевский премия	7	0	0	65
кто основать популярный теле игра что где когда	7	1	0	46
как звать собака Петра	4	1	0	22
к какой литературный направление принадлежать творчество в в каковский	9	1	0	71
в какой город находиться самый быстрый метро мир	8	0	0	48
в какой год появиться один государственный за умный банк	9	1	0	55
какой император воевать наполеон	4	0	0	32
монгольский боев клич	3	0	0	21
кто являться герой произведение агат кисти	6	1	0	43
столица какой госугосударство омываться атлантический океан	6	0	1	59
в какой год сборная Бразилия футбол впервые выиграть чемпионат мир	10	1	0	66
что лупулина помочь преодолеть равнина несчастий	6	2	0	48
самый большой звезда вселенная	4	0	0	30
самый маленький страна	3	0	0	22
в какой год создать СССР	5	1	0	24
откуда пошло выражение деньга пахнуть	5	1	0	38
в какой год выйти игра	5	0	0	22
как называться прибор предназначить исследование наблюдение запись измерение амплитудный временный х параметр электрический сигнал	14	0	0	130
сколько минута длиться оргазм свинья	5	0	0	36
название озеро который произойти ледовый побоище	6	0	0	48
под какой номер начинать выступать синель мессию	7	2	0	48
какой битва выиграть наполеон	4	0	0	29
какой этот гора находиться Африка	5	1	0	33
как называть учитель математика древний Греция	6	1	0	46
как называть год февраль который день	6	0	0	37
самый безопасный вид транспорт являться	5	0	0	39
какой комбинация выполнить сделать подкати игра	6	2	0	46
какой произведение принадлежать чехов	4	0	0	37
кто открытый закон сохранение импульс область физика	7	0	0	52
какой этот страна не входить Евросоюз	6	1	0	37
в какой месяц дуэль Онеги ленский	6	1	0	34
сколько режиссера р Андрей зверинцев становиться доминанта премия «оскар»	9	4	0	70
к какой вид животное относиться носатый химера	7	0	0	46
кто этот человек являться бокс р	6	0	0	32
не иметь сто рубль иметь сто нуль	7	0	0	33
какой европейский город ранний носить название лютеций	7	0	0	54
как сокращу нон называться федеральный служба надзор сфера связь информационный технология массовый коммуникация	13	2	0	111
что делать египтянин умирать любимый кошка	6	0	0	42
